,dtype,count,mean,std,min,max
 Bwd IAT Min,int64,2830743.0,967261.3707574301,8308983.091314676,0.0,120000000.0
Fwd PSH Flags,int64,2830743.0,0.04644646299575765,0.2104500052666412,0.0,1.0
 Bwd PSH Flags,int64,2830743.0,0.0,0.0,0.0,0.0
 Fwd URG Flags,int64,2830743.0,0.00011127820505075876,0.010548263436133866,0.0,1.0
 Bwd URG Flags,int64,2830743.0,0.0,0.0,0.0,0.0
 Fwd Header Length,int64,2830743.0,-25997.391975887604,21052857.873173933,-32212234632.0,4644908.0
 Bwd Header Length,int64,2830743.0,-2273.2753195892387,1452208.9395910755,-1073741320.0,5838440.0
Fwd Packets/s,float64,2830743.0,63865.34641143761,247537.12964203066,0.0,3000000.0
 Bwd Packets/s,float64,2830743.0,6995.191742603614,38151.69768319484,0.0,2000000.0
 Min Packet Length,int64,2830743.0,16.43450465125234,25.237720797695665,0.0,1448.0
 Max Packet Length,int64,2830743.0,950.4024445172168,2028.2291463396557,0.0,24820.0
 Packet Length Mean,float64,2830743.0,171.944390249003,305.49146113948734,0.0,3337.142857
 Packet Length Std,float64,2830743.0,294.9755544254998,631.800073031472,0.0,4731.522394
 Packet Length Variance,float64,2830743.0,486154.79413840704,1647489.865309903,0.0,22400000.0
FIN Flag Count,int64,2830743.0,0.035379757187423935,0.18473776556242197,0.0,1.0
 SYN Flag Count,int64,2830743.0,0.04644646299575765,0.2104500052666412,0.0,1.0
 RST Flag Count,int64,2830743.0,0.0002423392021105413,0.015565364095025081,0.0,1.0
 PSH Flag Count,int64,2830743.0,0.29807050657724843,0.45741070560008057,0.0,1.0
 ACK Flag Count,int64,2830743.0,0.31584428540492726,0.46485131936747087,0.0,1.0
 URG Flag Count,int64,2830743.0,0.0948231612689672,0.2929705781767338,0.0,1.0
 CWE Flag Count,int64,2830743.0,0.00011127820505075876,0.010548263436133866,0.0,1.0
 ECE Flag Count,int64,2830743.0,0.00024339899453959613,0.015599353750469678,0.0,1.0
 Down/Up Ratio,int64,2830743.0,0.6835004096097739,0.6804919860804203,0.0,156.0
 Average Packet Size,float64,2830743.0,191.98365759294512,331.86034925418835,0.0,3893.333333
 Avg Fwd Segment Size,float64,2830743.0,58.20193852812372,186.09115654962315,0.0,5940.857143
 Avg Bwd Segment Size,float64,2830743.0,305.94928134993836,605.2568001422048,0.0,5800.5
 Fwd Header Length.1,int64,2830743.0,-25997.391975887604,21052857.873173933,-32212234632.0,4644908.0
Fwd Avg Bytes/Bulk,int64,2830743.0,0.0,0.0,0.0,0.0
 Fwd Avg Packets/Bulk,int64,2830743.0,0.0,0.0,0.0,0.0
 Fwd Avg Bulk Rate,int64,2830743.0,0.0,0.0,0.0,0.0
 Bwd Avg Bytes/Bulk,int64,2830743.0,0.0,0.0,0.0,0.0
 Bwd Avg Packets/Bulk,int64,2830743.0,0.0,0.0,0.0,0.0
Bwd Avg Bulk Rate,int64,2830743.0,0.0,0.0,0.0,0.0
Subflow Fwd Packets,int64,2830743.0,9.361159949878884,749.6727924980048,1.0,219759.0
 Subflow Fwd Bytes,int64,2830743.0,549.2919360747337,9980.070243937706,0.0,12870338.0
 Subflow Bwd Packets,int64,2830743.0,10.393770116185044,997.3882689050921,0.0,291922.0
 Subflow Bwd Bytes,int64,2830743.0,16162.302467938629,2263057.2835084787,0.0,655453030.0
Init_Win_bytes_forward,int64,2830743.0,6989.837446211119,14338.725836818838,-1.0,65535.0
 Init_Win_bytes_backward,int64,2830743.0,1989.4329767838337,8456.883156982454,-1.0,65535.0
 act_data_pkt_fwd,int64,2830743.0,5.418217761202624,636.4256638996873,0.0,213557.0
 min_seg_size_forward,int64,2830743.0,-2741.687868520738,1084989.3838169887,-536870661.0,138.0
Active Mean,float64,2830743.0,81551.321012322,648599.936773979,0.0,110000000.0
 Active Std,float64,2830743.0,41134.11677514879,393381.51531683165,0.0,74200000.0
 Active Max,int64,2830743.0,153182.52126950416,1025824.9749109317,0.0,110000000.0
 Active Min,int64,2830743.0,58295.8177443166,577092.281910223,0.0,110000000.0
Idle Mean,float64,2830743.0,8316036.627207768,23630078.577950556,0.0,120000000.0
 Idle Std,float64,2830743.0,503843.9497793038,4602984.480672,0.0,76900000.0
 Idle Max,int64,2830743.0,8695751.984585673,24366888.32904313,0.0,120000000.0
 Idle Min,int64,2830743.0,7920031.014637146,23363418.9274783,0.0,120000000.0
